,AOI,Cell_ID,pl_pond_methane,pl_pond_methane_low,pl_pond_methane_high,pl_lake_methane,area
3,birch_creek,12440,0.17981320653465493,0.16181911365024496,0.22163327846835648,2.09512118642149,1253.3636329819349
4,birch_creek,13041,0.10988764008730277,0.09897639414953925,0.14648777759501877,0.7199079776759354,1228.56407131027
5,birch_creek,12441,0.1337478553669345,0.12275998846478543,0.1414854757558463,2.100259314500578,1253.3636324408178
7,YKD,6780,0.8440649542411095,0.8440649542411095,0.8440649542411095,7.430195194365376,1495.4636536809935
11,fairbanks,10628,0.1023968432479501,0.09178938740476142,0.10946469749237907,0.21617743854005628,1327.145772377881
15,delta_junction,9473,0.2410543531285872,0.22894723650628337,0.2751562609732516,1.0403198064674837,1375.8008666178473
19,fairbanks,10630,0.10674964390383497,0.1015302236607775,0.12012857379406187,0.41058313652206774,1327.1457664422821
22,delta_junction,9475,0.005019812489702853,0.004765265246699068,0.0055610902185889224,0.0113428231638953,1375.8008620549979
24,birch_creek,13043,0.06498788245429417,0.05776322138784858,0.07105577527339235,2.0071520420643068,1228.564068235404
26,fairbanks,10629,0.1258523829903026,0.11950378193121987,0.16140835898437253,0.43116570393492154,1327.1457662781822
28,delta_junction,9474,0.04360111109131529,0.041262136926785965,0.049019576405275586,0.11550831084773963,1375.8008690210056
34,birch_creek,13042,0.04443233211254067,0.036383244871603555,0.052738065910299226,0.51093128382582,1228.5640661689501
40,YKD,6781,1.1052998514171792,1.1052998514171792,1.1052998514171792,6.596093390535999,1495.4636618887328
45,birch_creek,12439,0.25773792363517695,0.2326457143887916,0.29256790681881484,2.0159889331216734,1253.3636408785062
52,YKD,6782,0.8464532276752661,0.8464532276752661,0.8464532276752661,4.758170575742907,1495.463648492502
